_prepare,_run,auto_log,background,bidi,block_no,boundary_radius,break_if,cal_beep,cal_target_size,canvas_backend,circle_radius,column_order,compensation,coordinates,correct,count__eyelink_drift_correct,count_block,count_block_counter,count_block_intro,count_block_sequence,count_calculate_rt,count_end_feedback,count_exp_loop,count_exp_sequence,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_helper_functions,count_intro_1,count_intro_2,count_intro_exp,count_logger,count_parameter_init,count_practice_block_sequence,count_practice_feedback,count_practice_loop,count_practice_preparation,count_stim_presentation,count_stimulus_preparation,count_trial_loop,count_trial_sequence,count_version_info,counter_exp,cur_pos,curfix_x,curfix_y,cycles,d_x,d_y,description,distractor_angle_deg,distractor_angle_rad,duration,feedback_canvas,feedback_duration,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_color,ignore_missing,item,iti_duration,keyboard_backend,log_msg,low_color,mouse_backend,no_color,note,order,origin_index,points_accumulated,practice,previous_target,reaction_time,repeat,repeat_cycle,reset_variables,response,response_block_intro,response_end_feedback,response_feedback,response_intro_1,response_intro_2,response_intro_exp,response_practice_feedback,response_time,response_time_block_intro,response_time_end_feedback,response_time_feedback,response_time_intro_1,response_time_intro_2,response_time_intro_exp,response_time_practice_feedback,reward_available,rt_cutoff,sacc_acc_thresh,sacc_vel_thresh,saccade_arrival_distractor,saccade_arrival_target,saccade_endx_distractor,saccade_endx_target,saccade_endy_distractor,saccade_endy_target,saccade_onset_distractor,saccade_onset_target,saccade_startx_distractor,saccade_startx_target,saccade_starty_distractor,saccade_starty_target,sampler_backend,search_radius,skip,start,start_response_interval,subject_nr,subject_parity,synth_backend,t_x,t_y,target_index,time__eyelink_drift_correct,time_block,time_block_counter,time_block_intro,time_block_sequence,time_calculate_rt,time_end_feedback,time_exp_loop,time_exp_sequence,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_helper_functions,time_intro_1,time_intro_2,time_intro_exp,time_logger,time_parameter_init,time_practice_block_sequence,time_practice_feedback,time_practice_loop,time_practice_preparation,time_stim_presentation,time_stimulus_preparation,time_trial_loop,time_trial_sequence,time_version_info,title,total_points_accumulated,tracker_attached,transparent_variables,trial_no,use_quotes,which_circle,width
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","0","NA","0","0","0","NA","0","0","0","0","(422.3999938964844, 485.20001220703125)","512","384","NA","479","263","Logs experimental data","119","2.09439510239","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","74","psycho","NA","green","psycho","blue","NA","NA","6","0","yes","[423, 472]","428.820027516","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","2","2000","NA","NA","394.777560073","394.777560073","0","422.100006104","0","485.799987793","360.730073043","360.730073043","0","509.5","0","392.5","legacy","125","NA","experiment","None","12","even","legacy","423","472","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","178771.641214","179406.003989","NA","3416.55050254","3438.78496432","78707.1406249","NA","179920.380029","3416.60269535","146351.175927","NA","146349.09567","176567.243792","178889.57233","NA","178667.154772","178771.584807","NA","LePelley","0","NA","no","1","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","0","NA","NA","NA","NA","NA","1","NA","0","NA","0","0","0","1","1","NA","0","0","0","NA","1","0","0","NA","0","0","1","NA","0","1","0","0","(369.3999938964844, 394.8999938964844)","423","472","NA","543","439","Logs experimental data","119","2.09439510239","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","229","psycho","NA","green","psycho","blue","NA","NA","10","0","yes","[335, 384]","347.869949778","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","1","2000","NA","NA","0","0","523.799987793","0","450.700012207","0","0","0","427","0","489.200012207","0","legacy","125","NA","experiment","None","12","even","legacy","335","384","5","NA","NA","NA","NA","NA","179929.588656","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","180047.997936","180751.429953","NA","3416.55050254","3438.78496432","78707.1406249","NA","181265.379374","3416.60269535","146351.175927","NA","146349.09567","176567.243792","180165.260594","NA","178667.154772","180047.944446","NA","LePelley","0","NA","no","2","yes","d","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","2","NA","0","NA","0","0","0","2","2","NA","0","0","0","NA","2","0","0","NA","0","0","2","NA","0","2","0","0","(452.3999938964844, 310.8999938964844)","335","384","NA","246","472","Logs experimental data","180","3.14159265359","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","199","psycho","NA","green","psycho","blue","NA","NA","5","0","yes","[423, 295]","384.625683531","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","2","2000","NA","NA","350.583540268","350.583540268","0","456.100006104","0","305.200012207","314.608809369","314.608809369","0","336.100006104","0","405.600006104","legacy","125","NA","experiment","None","12","even","legacy","423","295","1","NA","NA","NA","NA","NA","181268.494085","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","181368.678024","182080.778263","NA","3416.55050254","3438.78496432","78707.1406249","NA","182593.382341","3416.60269535","146351.175927","NA","146349.09567","176567.243792","181486.464232","NA","178667.154772","181368.623562","NA","LePelley","0","NA","no","3","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","3","NA","0","NA","0","0","0","3","3","NA","0","0","0","NA","3","0","0","NA","0","0","3","NA","0","3","0","0","(533.7999877929688, 398.3999938964844)","423","295","NA","455","415","Logs experimental data","29","0.523598775598","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","67","psycho","NA","green","psycho","blue","NA","NA","1","0","yes","[512, 384]","305.552926104","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","1","2000","NA","NA","271.510458661","271.510458661","0","536.200012207","0","421.5","225.538373062","225.538373062","0","451.5","0","317.399993896","legacy","125","NA","experiment","None","12","even","legacy","512","384","6","NA","NA","NA","NA","NA","182596.45815","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","182713.425482","183215.400705","NA","3416.55050254","3438.78496432","78707.1406249","NA","183729.38546","3416.60269535","146351.175927","NA","146349.09567","176567.243792","182831.41495","NA","178667.154772","182713.370048","NA","LePelley","0","NA","no","4","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","4","NA","0","NA","0","0","0","4","4","NA","0","0","0","NA","4","0","0","NA","0","0","4","NA","0","4","0","0","(632.0999755859375, 494.3999938964844)","512","384","NA","391","416","Logs experimental data","119","2.09439510239","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","222","psycho","NA","green","psycho","blue","NA","NA","6","0","yes","[600, 472]","354.297121679","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","1","2000","NA","NA","320.253033342","320.253033342","0","629.900024414","0","491.299987793","288.206054626","288.206054626","0","525.5","0","404","legacy","125","NA","experiment","None","12","even","legacy","600","472","11","NA","NA","NA","NA","NA","183732.499848","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","183849.029214","184552.531578","NA","3416.55050254","3438.78496432","78707.1406249","NA","185064.379346","3416.60269535","146351.175927","NA","146349.09567","176567.243792","183966.499023","NA","178667.154772","183848.973779","NA","LePelley","0","NA","no","5","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","5","NA","0","NA","0","0","0","5","5","NA","0","0","0","NA","5","0","0","NA","0","0","5","NA","0","5","0","0","(715.2999877929688, 385.8999938964844)","600","472","NA","511","560","Logs experimental data","180","3.14159265359","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","205","psycho","NA","green","psycho","blue","NA","NA","11","0","yes","[688, 384]","305.249818784","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","0","2000","NA","NA","271.208323878","271.208323878","0","718.799987793","0","387.799987793","234.261704481","234.261704481","0","625.400024414","0","499.899993896","legacy","125","NA","experiment","None","12","even","legacy","688","384","7","NA","NA","NA","NA","NA","185067.462937","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","185184.558643","185819.598628","NA","3416.55050254","3438.78496432","78707.1406249","NA","186332.389756","3416.60269535","146351.175927","NA","146349.09567","176567.243792","185302.410011","NA","178667.154772","185184.505154","NA","LePelley","0","NA","no","6","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","0","NA","NA","NA","NA","NA","6","NA","0","NA","0","0","0","6","6","NA","0","0","0","NA","6","0","0","NA","0","0","6","NA","0","6","0","0","(812.0999755859375, 321.20001220703125)","688","384","NA","808","351","Logs experimental data","29","0.523598775598","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","146","psycho","NA","green","psycho","blue","NA","NA","7","0","yes","[777, 295]","319.110738234","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","2","2000","NA","NA","0","0","810.900024414","0","330.5","0","0","0","720.099975586","0","397.200012207","0","legacy","125","NA","experiment","None","12","even","legacy","777","295","3","NA","NA","NA","NA","NA","186335.46816","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","186435.764913","187027.662838","NA","3416.55050254","3438.78496432","78707.1406249","NA","187541.384037","3416.60269535","146351.175927","NA","146349.09567","176567.243792","186553.366987","NA","178667.154772","186435.710127","NA","LePelley","0","NA","no","7","yes","d","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","7","NA","0","NA","0","0","0","7","7","NA","0","0","0","NA","7","0","0","NA","0","0","7","NA","0","7","0","0","(719.5, 394.8999938964844)","777","295","NA","656","327","Logs experimental data","29","0.523598775598","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","131","psycho","NA","green","psycho","blue","NA","NA","3","0","yes","[688, 384]","281.050508377","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","1","2000","NA","NA","247.010310187","247.010310187","0","719.099975586","0","395.399993896","213.992739688","213.992739688","0","804.599975586","0","330.299987793","legacy","125","NA","experiment","None","12","even","legacy","688","384","7","NA","NA","NA","NA","NA","187544.481567","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","187658.989677","188945.962935","NA","3416.55050254","3438.78496432","78707.1406249","NA","189458.385796","3416.60269535","146351.175927","NA","146349.09567","176567.243792","187776.25266","NA","178667.154772","187658.934566","NA","LePelley","0","NA","no","8","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","8","NA","0","NA","0","0","0","8","8","NA","0","0","0","NA","8","0","0","NA","0","0","8","NA","0","8","0","0","(616.5999755859375, 472.6000061035156)","688","384","NA","567","416","Logs experimental data","29","0.523598775598","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","110","psycho","NA","green","psycho","blue","NA","NA","7","0","yes","[600, 472]","334.588013937","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","0","2000","NA","NA","300.545222315","300.545222315","0","616.900024414","0","469.100006104","268.695344401","268.695344401","0","705.200012207","0","400.600006104","legacy","125","NA","experiment","None","12","even","legacy","600","472","11","NA","NA","NA","NA","NA","189461.47976","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","189580.777615","190149.916232","NA","3416.55050254","3438.78496432","78707.1406249","NA","190663.38684","3416.60269535","146351.175927","NA","146349.09567","176567.243792","189698.591053","NA","178667.154772","189580.720235","NA","LePelley","0","NA","no","9","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","9","NA","0","NA","0","0","0","9","9","NA","0","0","0","NA","9","0","0","NA","0","0","9","NA","0","9","0","0","(709.5, 374.0)","600","472","NA","720","439","Logs experimental data","29","0.523598775598","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","219","psycho","NA","green","psycho","blue","NA","NA","11","0","yes","[688, 384]","308.485773083","NA","0","NA","n","NA","NA","NA","f","n","NA","NA","67641.6279489","NA","NA","NA","21054.6812089","67641.6279489","NA","NA","2","2000","NA","NA","274.446871608","274.446871608","0","708","0","376.5","239.448567712","239.448567712","0","620.299987793","0","488.700012207","legacy","125","NA","experiment","None","12","even","legacy","688","384","7","NA","NA","NA","NA","NA","190666.473348","NA","NA","NA","3416.32260474","24493.7861378","146351.222608","190772.772599","191423.939838","NA","3416.55050254","3438.78496432","78707.1406249","NA","191936.37826","3416.60269535","146351.175927","NA","146349.09567","176567.243792","190890.674539","NA","178667.154772","190772.715219","NA","LePelley","0","NA","no","10","yes","t","1024"
