_prepare,_run,auto_log,background,bidi,block_no,boundary_radius,break_if,cal_beep,cal_target_size,canvas_backend,circle_radius,column_order,compensation,coordinates,correct,count__eyelink_drift_correct,count_block,count_block_counter,count_block_intro,count_block_sequence,count_calculate_rt,count_end_feedback,count_exp_loop,count_exp_sequence,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_helper_functions,count_intro_1,count_intro_2,count_intro_exp,count_logger,count_parameter_init,count_practice_block_sequence,count_practice_feedback,count_practice_loop,count_practice_preparation,count_stim_presentation,count_stimulus_preparation,count_trial_loop,count_trial_sequence,count_version_info,counter_exp,cur_pos,curfix_x,curfix_y,cycles,d_x,d_y,description,distractor_angle_deg,distractor_angle_rad,duration,feedback_canvas,feedback_duration,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_color,ignore_missing,item,iti_duration,keyboard_backend,log_msg,low_color,mouse_backend,no_color,note,order,origin_index,points_accumulated,practice,previous_target,reaction_time,repeat,repeat_cycle,reset_variables,response,response_block_intro,response_end_feedback,response_feedback,response_intro_1,response_intro_2,response_intro_exp,response_practice_feedback,response_time,response_time_block_intro,response_time_end_feedback,response_time_feedback,response_time_intro_1,response_time_intro_2,response_time_intro_exp,response_time_practice_feedback,reward_available,rt_cutoff,sacc_acc_thresh,sacc_vel_thresh,saccade_arrival_distractor,saccade_arrival_target,saccade_endx_distractor,saccade_endx_target,saccade_endy_distractor,saccade_endy_target,saccade_onset_distractor,saccade_onset_target,saccade_startx_distractor,saccade_startx_target,saccade_starty_distractor,saccade_starty_target,sampler_backend,search_radius,skip,start,start_response_interval,subject_nr,subject_parity,synth_backend,t_x,t_y,target_index,time__eyelink_drift_correct,time_block,time_block_counter,time_block_intro,time_block_sequence,time_calculate_rt,time_end_feedback,time_exp_loop,time_exp_sequence,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_helper_functions,time_intro_1,time_intro_2,time_intro_exp,time_logger,time_parameter_init,time_practice_block_sequence,time_practice_feedback,time_practice_loop,time_practice_preparation,time_stim_presentation,time_stimulus_preparation,time_trial_loop,time_trial_sequence,time_version_info,title,total_points_accumulated,tracker_attached,transparent_variables,trial_no,use_quotes,which_circle,width
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","0","0","0","NA","0","0","0","NA","0","0","0","0","(589.4000244140625, 487.5)","512","384","NA","423","295","Logs experimental data","180","3.14159265359","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","213","psycho","NA","green","psycho","blue","NA","NA","6","0","yes","[600, 472]","405.606221124","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","1","2000","NA","NA","371.564726218","371.564726218","0","581.5","0","484","339.777090662","339.777090662","0","505.799987793","0","390.399993896","legacy","125","NA","experiment","None","18","even","legacy","600","472","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","126932.071867","127678.160648","NA","3370.8937873","3386.48031132","119607.29675","NA","128192.856976","3370.9463043","122672.854811","NA","122670.801785","124711.125433","127049.06416","NA","126811.40695","126932.016756","NA","LePelley","0","NA","no","1","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","1","NA","0","NA","0","0","0","1","1","NA","0","0","0","NA","1","0","0","NA","0","0","1","NA","0","1","0","0","(517.5, 396.70001220703125)","600","472","NA","688","560","Logs experimental data","180","3.14159265359","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","90","psycho","NA","green","psycho","blue","NA","NA","11","0","yes","[512, 384]","245.460522136","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","0","2000","NA","NA","211.411571114","211.411571114","0","525.900024414","0","399.899993896","183.51473134","183.51473134","0","579.099975586","0","476.100006104","legacy","125","NA","experiment","None","18","even","legacy","512","384","6","NA","NA","NA","NA","NA","128201.997526","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","128324.618214","128790.14308","NA","3370.8937873","3386.48031132","119607.29675","NA","129304.861777","3370.9463043","122672.854811","NA","122670.801785","124711.125433","128442.134057","NA","126811.40695","128324.564077","NA","LePelley","0","NA","no","2","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","2","NA","0","NA","0","0","0","2","2","NA","0","0","0","NA","2","0","0","NA","0","0","2","NA","0","2","0","0","(611.5, 493.29998779296875)","512","384","NA","391","416","Logs experimental data","119","2.09439510239","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","231","psycho","NA","green","psycho","blue","NA","NA","6","0","yes","[600, 472]","288.384084629","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","1","2000","NA","NA","254.342265544","254.342265544","0","607.099975586","0","490.399993896","216.406900343","216.406900343","0","504.799987793","0","397.899993896","legacy","125","NA","experiment","None","18","even","legacy","600","472","11","NA","NA","NA","NA","NA","129307.960603","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","129429.468385","130072.318165","NA","3370.8937873","3386.48031132","119607.29675","NA","130586.858239","3370.9463043","122672.854811","NA","122670.801785","124711.125433","129547.155395","NA","126811.40695","129429.410357","NA","LePelley","0","NA","no","3","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","3","NA","0","NA","0","0","0","3","3","NA","0","0","0","NA","3","0","0","NA","0","0","3","NA","0","3","0","0","(678.9000244140625, 360.20001220703125)","600","472","NA","511","560","Logs experimental data","180","3.14159265359","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","52","psycho","NA","green","psycho","blue","NA","NA","11","0","yes","[688, 384]","236.391615954","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","2","2000","NA","NA","202.350769406","202.350769406","0","682.5","0","347.899993896","167.364135953","167.364135953","0","597","0","471.100006104","legacy","125","NA","experiment","None","18","even","legacy","688","384","7","NA","NA","NA","NA","NA","130589.950258","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","130692.604441","131110.400439","NA","3370.8937873","3386.48031132","119607.29675","NA","131624.86271","3370.9463043","122672.854811","NA","122670.801785","124711.125433","130810.080409","NA","126811.40695","130692.549979","NA","LePelley","0","NA","no","4","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","4","NA","0","NA","0","0","0","4","4","NA","0","0","0","NA","4","0","0","NA","0","0","4","NA","0","4","0","0","(779.0999755859375, 458.1000061035156)","688","384","NA","567","416","Logs experimental data","119","2.09439510239","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","194","psycho","NA","green","psycho","blue","NA","NA","7","0","yes","[777, 472]","280.400529579","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","0","2000","NA","NA","246.361952283","246.361952283","0","772.700012207","0","452.799987793","207.439137995","207.439137995","0","700.400024414","0","387.700012207","legacy","125","NA","experiment","None","18","even","legacy","777","472","12","NA","NA","NA","NA","NA","131627.923608","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","131748.450749","132352.393543","NA","3370.8937873","3386.48031132","119607.29675","NA","132866.856787","3370.9463043","122672.854811","NA","122670.801785","124711.125433","131864.943807","NA","126811.40695","131748.395638","NA","LePelley","0","NA","no","5","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","5","NA","0","NA","0","0","0","5","5","NA","0","0","0","NA","5","0","0","NA","0","0","5","NA","0","5","0","0","(860.7999877929688, 356.29998779296875)","777","472","NA","809","592","Logs experimental data","119","2.09439510239","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","243","psycho","NA","green","psycho","blue","NA","NA","12","0","yes","[865, 384]","304.269501633","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","2","2000","NA","NA","270.237083738","270.237083738","0","859","0","356.399993896","253.046578032","253.046578032","0","890.299987793","0","314.700012207","legacy","125","NA","experiment","None","18","even","legacy","865","384","8","NA","NA","NA","NA","NA","132869.926437","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","132975.484291","133649.464003","NA","3370.8937873","3386.48031132","119607.29675","NA","134162.855835","3370.9463043","122672.854811","NA","122670.801785","124711.125433","133093.00532","NA","126811.40695","132975.429505","NA","LePelley","0","NA","no","6","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","6","NA","0","NA","0","0","0","6","6","NA","0","0","0","NA","6","0","0","NA","0","0","6","NA","0","6","0","0","(762.2999877929688, 477.3999938964844)","865","384","NA","953","295","Logs experimental data","180","3.14159265359","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","140","psycho","NA","green","psycho","blue","NA","NA","8","0","yes","[777, 472]","827.951422433","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","1","2000","NA","NA","793.907982453","793.907982453","0","762.5","0","475","774.051104867","774.051104867","0","761.5","0","475.799987793","legacy","125","NA","experiment","None","18","even","legacy","777","472","12","NA","NA","NA","NA","NA","134165.91965","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","134286.726233","135381.703534","NA","3370.8937873","3386.48031132","119607.29675","NA","135894.863579","3370.9463043","122672.854811","NA","122670.801785","124711.125433","134403.867974","NA","126811.40695","134286.670151","NA","LePelley","0","NA","no","7","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","7","NA","0","NA","0","0","0","7","7","NA","0","0","0","NA","7","0","0","NA","0","0","7","NA","0","7","0","0","(844.7000122070312, 392.70001220703125)","777","472","NA","897","439","Logs experimental data","29","0.523598775598","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","67","psycho","NA","green","psycho","blue","NA","NA","12","0","yes","[865, 384]","251.922057006","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","0","2000","NA","NA","217.881210458","217.881210458","0","842.099975586","0","377.700012207","187.773146053","187.773146053","0","763.5","0","488.600006104","legacy","125","NA","experiment","None","18","even","legacy","865","384","8","NA","NA","NA","NA","NA","135897.950087","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","136019.926308","136466.954819","NA","3370.8937873","3386.48031132","119607.29675","NA","136980.86015","3370.9463043","122672.854811","NA","122670.801785","124711.125433","136137.022014","NA","126811.40695","136019.867631","NA","LePelley","0","NA","no","8","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","8","NA","0","NA","0","0","0","8","8","NA","0","0","0","NA","8","0","0","NA","0","0","8","NA","0","8","0","0","(769.5999755859375, 286.8999938964844)","865","384","NA","985","351","Logs experimental data","119","2.09439510239","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","115","psycho","NA","green","psycho","blue","NA","NA","8","0","yes","[777, 295]","214.712148541","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","1","2000","NA","NA","180.673247067","180.673247067","0","768.400024414","0","293.700012207","138.578665913","138.578665913","0","847.200012207","0","402.200012207","legacy","125","NA","experiment","None","18","even","legacy","777","295","3","NA","NA","NA","NA","NA","136983.905163","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","137103.944091","137556.595161","NA","3370.8937873","3386.48031132","119607.29675","NA","138070.854821","3370.9463043","122672.854811","NA","122670.801785","124711.125433","137221.118573","NA","126811.40695","137103.886387","NA","LePelley","0","NA","no","9","yes","t","1024"
"NA","NA","yes","#c5c5c5","no","0","130","NA","NA","NA","psycho","22","NA","0","relative","1","NA","NA","NA","NA","NA","9","NA","0","NA","0","0","0","9","9","NA","0","0","0","NA","9","0","0","NA","0","0","9","NA","0","9","0","0","(689.5, 397.6000061035156)","777","295","NA","865","206","Logs experimental data","180","3.14159265359","NA","n","300","NA","no","mono","no","22","NA","black","768","orange","yes","NA","202","psycho","NA","green","psycho","blue","NA","NA","3","0","yes","[688, 384]","260.678454678","NA","0","NA","space","NA","NA","NA","n","space","NA","NA","3063.18831296","NA","NA","NA","1059.5250908","3063.18831296","NA","NA","2","2000","NA","NA","226.632097088","226.632097088","0","695.200012207","0","389.899993896","184.842244148","184.842244148","0","766.200012207","0","283.899993896","legacy","125","NA","experiment","None","18","even","legacy","688","384","7","NA","NA","NA","NA","NA","138073.902427","NA","NA","NA","3368.79861874","4446.32633928","122672.901492","138179.437264","138767.752039","NA","3370.8937873","3386.48031132","119607.29675","NA","139281.861928","3370.9463043","122672.854811","NA","122670.801785","124711.125433","138295.981218","NA","126811.40695","138179.377939","NA","LePelley","0","NA","no","10","yes","t","1024"
