RECORDING_SESSION_LABEL,answer,block_number,c_target,fix_to_temp,high_location,low_location,not_fixated,response_key,response_time,target_correct,target_position,temp_to_stim,trial_number,CURRENT_FIX_BLINK_AROUND,CURRENT_FIX_DURATION,CURRENT_FIX_END,CURRENT_FIX_INDEX,CURRENT_FIX_PUPIL,CURRENT_FIX_X,CURRENT_FIX_Y,NEXT_SAC_AMPLITUDE,NEXT_SAC_ANGLE,NEXT_SAC_AVG_VELOCITY,NEXT_SAC_CONTAINS_BLINK,NEXT_SAC_DIRECTION,NEXT_SAC_DURATION,NEXT_SAC_END_TIME,NEXT_SAC_END_X,NEXT_SAC_END_Y,NEXT_SAC_INDEX,NEXT_SAC_PEAK_VELOCITY,NEXT_SAC_START_TIME,NEXT_SAC_START_X,NEXT_SAC_START_Y
SR01TE1,right,0,right,747,north_west,south_east,0,right,834,1,south_east,747,0,NONE,2460,2466,1,4420,866.5,511.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SR01TE1,right,0,right,624,north_west,south_east,0,right,784,1,north_east,624,1,NONE,2165,2171,1,4304,838.1,535.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SR01TE1,right,0,right,518,north_west,south_east,0,right,559,1,south_east,518,2,NONE,1725,1731,1,4005,854.5,506.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SR01TE1,left,0,left,551,north_west,south_east,0,left,599,1,south_east,551,3,NONE,1821,1827,1,3883,813.7,565,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SR01TE1,right,0,right,700,north_west,south_east,0,right,528,1,south_east,700,4,NONE,435,441,1,4010,833.9,535.1,0.23,165.38,38,FALSE,.,6,447,816.1,537.8,1,28.76,442,826.8,540.6
SR01TE1,right,0,right,700,north_west,south_east,0,right,528,1,south_east,700,4,NONE,1628,2075,2,3640,819.1,539.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SR01TE1,left,0,left,553,north_west,south_east,0,right,479,0,north_west,553,5,AFTER,238,244,1,4208,839.6,525.9,0.84,64.65,3.57,TRUE,UP,235,479,855.9,493.2,1,579.14,245,838.5,530
SR01TE1,left,0,left,553,north_west,south_east,0,right,479,0,north_west,553,5,BEFORE,35,514,2,4311,851.4,509.2,0.42,-91.41,52.23,FALSE,.,8,522,850.8,517.5,2,32.43,515,851.3,497.2
SR01TE1,left,0,left,553,north_west,south_east,0,right,479,0,north_west,553,5,NONE,1201,1723,3,4231,838.9,510.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SR01TE1,right,0,right,507,north_west,south_east,0,right,612,1,north_east,507,6,NONE,1756,1762,1,4480,844.2,538.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.
