_prepare,_run,answer,auto_log,background,bidi,break_if,c_target,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_getting_started,count_instructions,count_instructions2,count_logger,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,count_welcome,cycles,description,duration,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,ignore_missing,item,keyboard_backend,log_msg,low_location,mode,mouse_backend,not_fixated,note,order,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions,response_instructions2,response_key,response_time,response_time_feedback,response_time_instructions,response_time_instructions2,response_time_welcome,response_welcome,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,target_correct,target_duration,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_getting_started,time_instructions,time_instructions2,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,time_welcome,title,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","0","0","NA","NA","Logs experimental data","NA","241","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","30982","NA","87368","30982","NA","NA","735","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","north_west","1984","1985","217059","219009","220367","NA","NA","98631","186001","220895","216986","216983","216986","220895","216986","219143","1984","217059","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","NA","0","0","1","0","0","0","1","0","1","0","1","NA","NA","Logs experimental data","NA","621","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","30982","NA","87368","30982","NA","NA","692","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","south_west","1984","1985","220936","226298","228383","NA","NA","98631","186001","228912","216986","216983","216986","228912","216986","226442","1984","220936","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","NA","0","0","2","0","0","0","2","0","2","0","2","NA","NA","Logs experimental data","NA","615","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","30982","NA","87368","30982","NA","NA","656","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","south_west","1984","1985","228948","230827","232855","NA","NA","98631","186001","233387","216986","216983","216986","233387","216986","230961","1984","228948","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","NA","0","0","3","0","0","0","3","0","3","0","3","NA","NA","Logs experimental data","NA","663","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","30982","NA","87368","30982","NA","NA","619","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","south_east","1984","1985","233423","234651","236735","NA","NA","98631","186001","237266","216986","216983","216986","237266","216986","234783","1984","233423","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","NA","0","0","4","0","0","0","4","0","4","0","4","NA","NA","Logs experimental data","NA","743","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","30982","NA","87368","30982","NA","NA","609","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","north_west","1984","1985","237301","238091","240327","NA","NA","98631","186001","240847","216986","216983","216986","240847","216986","238226","1984","237301","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","NA","0","0","5","0","0","0","5","0","5","0","5","NA","NA","Logs experimental data","NA","571","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","30982","NA","87368","30982","NA","NA","799","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","south_east","1984","1985","240883","241593","243671","NA","NA","98631","186001","244202","216986","216983","216986","244202","216986","241724","1984","240883","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","NA","0","0","6","0","0","0","6","0","6","0","6","NA","NA","Logs experimental data","NA","203","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","30982","NA","87368","30982","NA","NA","809","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","north_east","1984","1985","244239","245291","246647","NA","NA","98631","186001","247178","216986","216983","216986","247178","216986","245425","1984","244238","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","NA","0","0","7","0","0","0","7","0","7","0","7","NA","NA","Logs experimental data","NA","569","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","30982","NA","87368","30982","NA","NA","822","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","south_west","1984","1985","247214","248235","250336","NA","NA","98631","186001","250878","216986","216983","216986","250878","216986","248369","1984","247214","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","NA","0","0","8","0","0","0","8","0","8","0","8","NA","NA","Logs experimental data","NA","748","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","None","NA","space","space","None","30982","NA","87368","30982","NA","NA","1002","NA","NA","legacy","experiment","None","9","odd","legacy","0","200","north_east","1984","1985","250914","251804","254434","NA","NA","98631","186001","254959","216986","216983","216986","254959","216986","251932","1984","250914","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","NA","0","0","9","0","0","0","9","0","9","0","9","NA","NA","Logs experimental data","NA","620","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","30982","NA","87368","30982","NA","NA","640","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","north_east","1984","1985","254995","257585","259607","NA","NA","98631","186001","260139","216986","216983","216986","260139","216986","257718","1984","254995","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","10","10","10","NA","NA","0","0","10","0","0","0","10","0","10","0","10","NA","NA","Logs experimental data","NA","645","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","30982","NA","87368","30982","NA","NA","585","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","south_west","1984","1985","260175","261289","263303","NA","NA","98631","186001","263832","216986","216983","216986","263832","216986","261420","1984","260175","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","11","11","11","NA","NA","0","0","11","0","0","0","11","0","11","0","11","NA","NA","Logs experimental data","NA","372","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","30982","NA","87368","30982","NA","NA","753","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","south_east","1984","1985","263869","264923","266560","NA","NA","98631","186001","267091","216986","216983","216986","267091","216986","265055","1984","263869","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","12","12","12","NA","NA","0","0","12","0","0","0","12","0","12","0","12","NA","NA","Logs experimental data","NA","277","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","30982","NA","87368","30982","NA","NA","857","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","north_east","1984","1985","267127","268546","270095","NA","NA","98631","186001","270624","216986","216983","216986","270624","216986","268678","1984","267127","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","13","13","13","NA","NA","0","0","13","0","0","0","13","0","13","0","13","NA","NA","Logs experimental data","NA","533","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","None","NA","space","space","None","30982","NA","87368","30982","NA","NA","1002","NA","NA","legacy","experiment","None","9","odd","legacy","0","200","north_east","1984","1985","270659","271883","274091","NA","NA","98631","186001","274622","216986","216983","216986","274622","216986","272016","1984","270659","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","14","14","14","NA","NA","0","0","14","0","0","0","14","0","14","0","14","NA","NA","Logs experimental data","NA","519","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","30982","NA","87368","30982","NA","NA","562","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","south_west","1984","1985","274657","278578","280318","NA","NA","98631","186001","280848","216986","216983","216986","280848","216986","278713","1984","274657","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","15","15","15","NA","NA","0","0","15","0","0","0","15","0","15","0","15","NA","NA","Logs experimental data","NA","714","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","30982","NA","87368","30982","NA","NA","556","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","north_west","1984","1985","280883","281985","284111","NA","NA","98631","186001","284640","216986","216983","216986","284640","216986","282120","1984","280883","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","16","16","16","NA","NA","0","0","16","0","0","0","16","0","16","0","16","NA","NA","Logs experimental data","NA","245","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","30982","NA","87368","30982","NA","NA","502","NA","NA","legacy","experiment","None","9","odd","legacy","1","200","north_east","1984","1985","284675","285570","286703","NA","NA","98631","186001","287233","216986","216983","216986","287233","216986","285704","1984","284675","NA","New experiment","NA","no","yes","1680","NA","NA"
