Subject,RT,condition,template_duration
1,0.613,1,0.739
1,0.543,1,0.689
1,0.532,1,0.64
1,0.531,1,0.73
1,0.427,1,0.69
1,0.547,1,0.419
1,0.504,1,0.46
1,0.454,1,0.56
1,0.458,1,0.592
1,0.434,1,0.791
1,0.481,1,0.433
1,0.515,1,0.297
1,0.445,1,0.673
1,0.533,1,0.417
1,0.496,1,0.637
1,0.58,1,0.239
1,0.493,1,0.392
1,0.666,1,0.45
1,0.533,1,0.226
1,0.591,1,0.619
1,0.483,1,0.294
1,0.673,1,0.226
1,0.466,1,0.577
1,0.52,1,0.49
1,0.654,1,0.418
1,0.592,1,0.394
1,0.658,1,0.269
2,0.565,1,0.595
2,0.601,1,0.368
2,0.615,1,0.2
2,0.526,1,0.698
2,0.554,1,0.649
2,0.462,1,0.294
2,0.528,1,0.32
2,0.45,1,0.312
2,0.568,1,0.522
2,0.43,1,0.389
2,0.447,1,0.644
2,0.709,1,0.445
2,0.508,1,0.452
2,0.541,1,0.71
2,0.622,1,0.208
2,0.659,1,0.718
2,0.467,1,0.264
2,0.528,1,0.316
2,0.456,1,0.247
2,0.484,1,0.358
2,0.384,1,0.41
2,0.448,1,0.414
2,0.497,1,0.489
2,0.543,1,0.348
2,0.578,1,0.33
2,0.578,1,0.724
2,0.55,1,0.69
2,0.45,1,0.756
2,0.463,1,0.719
2,0.554,1,0.408
3,0.877,1,0.563
3,0.83,1,0.547
3,0.659,1,0.695
3,0.724,1,0.234
3,0.603,1,0.263
3,0.539,1,0.272
3,0.508,1,0.674
3,0.494,1,0.203
3,0.507,1,0.307
3,0.536,1,0.709
3,0.52,1,0.353
3,0.602,1,0.729
3,0.485,1,0.669
3,0.52,1,0.337
3,0.543,1,0.232
3,0.497,1,0.67
3,0.533,1,0.711
3,0.536,1,0.634
3,0.551,1,0.222
3,0.529,1,0.571
3,0.656,1,0.424
3,0.568,1,0.732
3,0.483,1,0.246
3,0.599,1,0.235
4,0.413,1,0.312
4,0.341,1,0.389
4,0.605,1,0.691
4,0.544,1,0.377
4,0.456,1,0.646
4,0.466,1,0.239
4,0.568,1,0.394
4,0.472,1,0.531
4,0.525,1,0.671
4,0.596,1,0.754
4,0.47,1,0.33
4,0.466,1,0.535
4,0.552,1,0.221
4,0.441,1,0.27
4,0.518,1,0.519
4,0.673,1,0.697
4,0.502,1,0.48
4,0.555,1,0.636
4,0.644,1,0.654
4,0.512,1,0.377
4,0.512,1,0.485
4,0.466,1,0.621
4,0.538,1,0.663
4,0.542,1,0.293
4,0.488,1,0.601
4,0.44,1,0.555
4,0.433,1,0.585
4,0.518,1,0.29
5,0.918,1,0.326
5,0.951,1,0.422
5,0.895,1,0.665
5,0.924,1,0.267
5,0.543,1,0.338
5,0.718,1,0.678
5,0.691,1,0.242
5,0.782,1,0.743
5,0.707,1,0.638
5,0.828,1,0.335
5,0.675,1,0.738
5,0.677,1,0.504
5,0.744,1,0.296
5,0.807,1,0.324
5,0.658,1,0.414
5,0.898,1,0.454
5,0.93,1,0.286
5,0.69,1,0.486
5,0.681,1,0.742
6,0.671,1,0.785
6,0.649,1,0.494
6,0.606,1,0.268
6,0.584,1,0.277
6,0.771,1,0.623
