Subject,RT,condition,template_duration
1,0.613,1,0.739
1,0.543,1,0.689
1,0.532,1,0.64
1,0.531,1,0.73
1,0.427,1,0.69
1,0.547,1,0.419
1,0.504,1,0.46
1,0.454,1,0.56
1,0.458,1,0.592
1,0.434,1,0.791
1,0.481,1,0.433
1,0.515,1,0.297
1,0.445,1,0.673
1,0.533,1,0.417
1,0.496,1,0.637
1,0.58,1,0.239
1,0.493,1,0.392
1,0.666,1,0.45
1,0.533,1,0.226
1,0.591,1,0.619
1,0.483,1,0.294
1,0.673,1,0.226
1,0.466,1,0.577
1,0.52,1,0.49
1,0.654,1,0.418
1,0.592,1,0.394
1,0.658,1,0.269
1,0.559,-1,0.518
1,0.599,-1,0.551
1,0.528,-1,0.7
1,0.47,-1,0.681
1,0.475,-1,0.638
1,0.487,-1,0.764
1,0.473,-1,0.411
1,0.601,-1,0.202
1,0.553,-1,0.507
1,0.477,-1,0.639
1,0.49,-1,0.662
1,0.49,-1,0.628
1,0.509,-1,0.397
1,0.459,-1,0.642
1,0.484,-1,0.753
1,0.478,-1,0.536
1,0.469,-1,0.685
1,0.468,-1,0.645
1,0.483,-1,0.242
1,0.488,-1,0.518
1,0.474,-1,0.506
1,0.481,-1,0.764
1,0.463,-1,0.615
1,0.514,-1,0.636
1,0.484,-1,0.602
1,0.471,-1,0.526
1,0.558,-1,0.466
1,0.388,-1,0.255
1,0.504,-1,0.758
2,0.565,1,0.595
2,0.601,1,0.368
2,0.615,1,0.2
2,0.526,1,0.698
2,0.554,1,0.649
2,0.462,1,0.294
2,0.528,1,0.32
2,0.45,1,0.312
2,0.568,1,0.522
2,0.43,1,0.389
2,0.447,1,0.644
2,0.709,1,0.445
2,0.508,1,0.452
2,0.541,1,0.71
2,0.622,1,0.208
2,0.659,1,0.718
2,0.467,1,0.264
2,0.528,1,0.316
2,0.456,1,0.247
2,0.484,1,0.358
2,0.384,1,0.41
2,0.448,1,0.414
2,0.497,1,0.489
2,0.543,1,0.348
2,0.578,1,0.33
2,0.578,1,0.724
2,0.55,1,0.69
2,0.45,1,0.756
2,0.463,1,0.719
2,0.554,1,0.408
2,0.752,-1,0.67
2,0.699,-1,0.742
2,0.569,-1,0.793
2,0.643,-1,0.238
2,0.665,-1,0.661
2,0.524,-1,0.767
2,0.643,-1,0.22
2,0.54,-1,0.429
2,0.55,-1,0.382
2,0.561,-1,0.592
2,0.554,-1,0.284
2,0.547,-1,0.493
2,0.786,-1,0.363
2,0.555,-1,0.587
2,0.672,-1,0.34
2,0.55,-1,0.508
2,0.664,-1,0.712
2,0.515,-1,0.448
2,0.515,-1,0.468
2,0.645,-1,0.242
2,0.58,-1,0.366
2,0.537,-1,0.354
2,0.662,-1,0.314
2,0.604,-1,0.384
2,0.489,-1,0.756
2,0.541,-1,0.579
2,0.473,-1,0.281
2,0.658,-1,0.433
2,0.636,-1,0.48
2,0.472,-1,0.733
3,0.877,1,0.563
3,0.83,1,0.547
3,0.659,1,0.695
3,0.724,1,0.234
3,0.603,1,0.263
3,0.539,1,0.272
3,0.508,1,0.674
3,0.494,1,0.203
3,0.507,1,0.307
3,0.536,1,0.709
3,0.52,1,0.353
3,0.602,1,0.729
