High_1,High_2,High_3,High_4,Low_1,Low_2,Low_3,Low_4,No1_1,No1_2,No1_3,No1_4,No2_1,No2_2,No2_3,No2_4
243.333333333,251.5,261.481481481,242.666666667,231.538461538,242.137931034,251.035714286,240.620689655,255.107142857,271.192307692,274.666666667,269.259259259,217.172413793,237.620689655,232.137931034,236.24137931
316.172413793,298.448275862,289.392857143,309.25,309.035714286,300.3,299.333333333,290.733333333,332.333333333,325.448275862,314.357142857,317.033333333,313.724137931,316.518518519,310.2,319.066666667
302.72,287.111111111,282.5,266.863636364,278.214285714,267.761904762,257.206896552,262.782608696,313.0,299.222222222,257.0,286.72,285.964285714,264.88,282.464285714,281.5
261.12,269.310344828,269.233333333,265.533333333,260.4,254.793103448,253.24137931,262.566666667,259.785714286,246.310344828,252.0,274.633333333,256.217391304,255.965517241,265.724137931,260.2
303.68,273.407407407,265.24,263.583333333,276.952380952,310.7,277.913043478,280.12,307.08,301.107142857,265.0,284.076923077,306.64,330.944444444,363.041666667,325.631578947
320.739130435,338.826086957,279.695652174,267.793103448,334.272727273,331.695652174,282.380952381,269.931034483,347.384615385,370.6,362.533333333,363.9,348.928571429,387.733333333,352.266666667,330.5625
290.857142857,284.296296296,298.961538462,277.259259259,269.2,257.827586207,246.551724138,241.933333333,275.074074074,280.931034483,272.4,259.0,258.64,266.2,261.137931034,245.233333333
268.421052632,309.75,290.636363636,284.5,241.32,280.965517241,265.884615385,270.88,259.115384615,270.708333333,294.523809524,276.5625,245.958333333,263.357142857,263.318181818,293.8
307.5,344.9,263.142857143,261.607142857,342.76,421.933333333,291.142857143,302.766666667,289.769230769,418.368421053,267.296296296,245.821428571,303.92,391.5625,322.956521739,273.75862069
238.476190476,229.538461538,287.2,236.25,270.52,262.555555556,263.333333333,240.777777778,256.714285714,257.041666667,248.2,249.730769231,251.0,267.666666667,270.625,287.235294118
249.56,273.714285714,272.214285714,249.896551724,253.592592593,260.966666667,259.633333333,256.535714286,251.333333333,264.586206897,262.068965517,255.620689655,255.884615385,245.851851852,272.034482759,273.407407407
269.76,271.793103448,274.5,276.357142857,258.142857143,254.310344828,242.107142857,255.310344828,254.37037037,253.5,259.692307692,252.0,285.615384615,290.76,288.642857143,289.896551724
267.714285714,259.3,235.954545455,244.318181818,264.115384615,226.565217391,220.32,229.666666667,265.304347826,227.833333333,245.875,262.782608696,264.227272727,227.47826087,235.333333333,236.095238095
299.1,279.333333333,279.733333333,267.533333333,298.043478261,279.115384615,290.833333333,269.777777778,336.916666667,304.689655172,306.84,313.964285714,299.142857143,287.892857143,285.827586207,288.034482759
262.827586207,251.928571429,270.766666667,273.172413793,246.068965517,230.892857143,244.285714286,225.285714286,257.571428571,247.7,259.192307692,256.043478261,251.0,252.392857143,247.037037037,254.24137931
302.576923077,291.192307692,276.157894737,251.714285714,302.392857143,288.964285714,285.208333333,246.739130435,286.961538462,284.071428571,259.346153846,259.863636364,281.62962963,279.333333333,277.333333333,251.958333333
260.88,246.142857143,248.703703704,239.666666667,257.785714286,266.533333333,259.666666667,255.8,277.466666667,246.444444444,267.962962963,252.178571429,258.407407407,248.551724138,256.444444444,260.178571429
282.961538462,305.75,297.96,273.818181818,302.24,345.454545455,335.958333333,325.857142857,341.28,359.818181818,357.272727273,322.8,296.892857143,311.153846154,277.52173913,304.076923077
337.863636364,289.333333333,283.689655172,288.851851852,294.517241379,267.259259259,276.178571429,278.666666667,320.333333333,287.653846154,287.384615385,301.592592593,339.346153846,302.185185185,278.041666667,289.666666667
321.45,318.375,345.826086957,280.19047619,299.107142857,266.555555556,254.826086957,246.24,306.888888889,299.272727273,284.083333333,271.461538462,370.263157895,372.047619048,371.333333333,368.444444444
304.55,303.875,301.047619048,276.875,302.0,317.375,298.884615385,274.423076923,350.176470588,324.421052632,332.380952381,320.333333333,355.533333333,347.28,338.263157895,312.0
276.347826087,254.962962963,241.357142857,239.25,263.416666667,253.137931034,241.37037037,228.416666667,292.434782609,269.0,267.375,258.476190476,261.62962963,247.25,260.56,254.8
251.428571429,257.45,266.35,237.071428571,272.5,271.615384615,285.066666667,241.210526316,266.1875,262.904761905,259.263157895,257.428571429,227.375,255.1875,241.6875,241.666666667
360.363636364,336.75,292.75,306.666666667,373.642857143,381.5,332.263157895,322.153846154,340.846153846,336.695652174,300.666666667,297.318181818,323.947368421,335.826086957,317.363636364,309.684210526
