RECORDING_SESSION_LABEL,answer,block_number,c_target,fix_to_stim,high_location,low_location,response_key,response_time,target_correct,target_position,trial_number,CURRENT_FIX_BLINK_AROUND,CURRENT_FIX_END,CURRENT_FIX_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_START,CURRENT_FIX_X,CURRENT_FIX_Y,NEXT_SAC_DURATION,NEXT_SAC_DIRECTION,NEXT_SAC_CONTAINS_BLINK,NEXT_SAC_AMPLITUDE,NEXT_SAC_ANGLE,NEXT_SAC_AVG_VELOCITY,NEXT_SAC_END_TIME,NEXT_SAC_END_X,NEXT_SAC_END_Y,NEXT_SAC_INDEX,NEXT_SAC_PEAK_VELOCITY,NEXT_SAC_START_X,NEXT_SAC_START_Y,NEXT_SAC_START_TIME,PREVIOUS_FIX_BLINK_AROUND
SRC01TE1,left,0,left,628,north_west,south_east,left,397,1,north_east,0,NONE,532,1,526,7,834.9,511.1,22,LEFT,FALSE,1.56,140.68,70.99,554,773.7,460.1,1,105.23,832.3,508.2,533,.
SRC01TE1,left,0,left,628,north_west,south_east,left,397,1,north_east,0,NONE,929,2,375,555,760.1,451.5,26,UP,FALSE,2.49,80.19,95.89,955,779.1,328.9,2,116.23,758.5,448.3,930,NONE
SRC01TE1,left,0,left,628,north_west,south_east,left,397,1,north_east,0,NONE,1005,3,50,956,774.8,305.8,39,RIGHT,FALSE,7.11,9.84,182.25,1044,1110.3,249.2,3,351.86,768.9,308.4,1006,NONE
SRC01TE1,left,0,left,628,north_west,south_east,left,397,1,north_east,0,NONE,1173,4,129,1045,1082.2,260,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,left,0,left,257,north_west,south_east,right,408,0,north_east,1,NONE,538,1,532,7,839,528.9,36,UP,FALSE,3.14,93.32,87.11,574,827.1,380.2,1,109.43,835.9,532.2,539,.
SRC01TE1,left,0,left,257,north_west,south_east,right,408,0,north_east,1,NONE,643,2,69,575,817.5,388.4,33,RIGHT,FALSE,4.65,9.39,140.95,676,1033.7,352.9,2,264.52,810.9,389.8,644,NONE
SRC01TE1,left,0,left,257,north_west,south_east,right,408,0,north_east,1,NONE,800,3,124,677,1012.2,364.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,right,0,right,608,north_west,south_east,right,791,1,north_east,2,NONE,478,1,472,7,836.5,517.8,22,RIGHT,FALSE,1.93,15.69,87.51,500,921.1,494.9,1,123.65,831.2,520.2,479,.
SRC01TE1,right,0,right,608,north_west,south_east,right,791,1,north_east,2,NONE,770,2,270,501,908.4,488.2,32,DOWN,FALSE,4.27,-115.16,133.57,802,813.1,672,2,224.35,901.4,483.2,771,NONE
SRC01TE1,right,0,right,608,north_west,south_east,right,791,1,north_east,2,NONE,945,3,143,803,804.3,665.3,31,RIGHT,FALSE,3.3,-8.77,106.5,976,960.8,687.5,3,189.05,801.9,662.8,946,NONE
SRC01TE1,right,0,right,608,north_west,south_east,right,791,1,north_east,2,NONE,1056,4,80,977,947.9,688.7,51,UP,FALSE,8.77,74.9,172.01,1107,1057.2,276.5,4,300.43,945.7,691.1,1057,NONE
SRC01TE1,right,0,right,608,north_west,south_east,right,791,1,north_east,2,NONE,1535,5,428,1108,1033,320,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,left,0,left,464,north_west,south_east,right,736,0,south_east,3,NONE,362,1,356,7,837.4,528.5,30,UP,FALSE,2.69,55.71,89.67,392,911.9,429.4,1,127.8,838.4,537.3,363,.
SRC01TE1,left,0,left,464,north_west,south_east,right,736,0,south_east,3,NONE,736,2,344,393,877.7,405.8,42,RIGHT,FALSE,5.36,20.02,127.51,778,1117.2,324.3,2,227.85,872.4,413.5,737,NONE
SRC01TE1,left,0,left,464,north_west,south_east,right,736,0,south_east,3,NONE,970,3,192,779,1098.4,339,17,LEFT,FALSE,0.98,-166.37,57.36,987,1048.9,352.8,3,78.6,1095.1,341.6,971,NONE
SRC01TE1,left,0,left,464,north_west,south_east,right,736,0,south_east,3,NONE,1338,4,351,988,1047.3,356,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,right,0,right,330,north_west,south_east,right,588,1,north_east,4,NONE,634,1,628,7,838.2,544.9,35,RIGHT,FALSE,3.39,29.94,96.84,669,972.9,477.1,1,137.91,830.3,559.4,635,.
SRC01TE1,right,0,right,330,north_west,south_east,right,588,1,north_east,4,NONE,718,2,49,670,965.9,481.9,26,UP,FALSE,2.53,47.84,97.27,744,1044.5,392.4,2,166.33,962,483.6,719,NONE
SRC01TE1,right,0,right,330,north_west,south_east,right,588,1,north_east,4,NONE,930,3,186,745,1033.8,393.8,12,UP,FALSE,0.7,51.79,58.64,942,1051.5,366.5,3,60.61,1030.3,393.4,931,NONE
SRC01TE1,right,0,right,330,north_west,south_east,right,588,1,north_east,4,NONE,1038,4,96,943,1045.5,360.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,right,0,right,427,north_west,south_east,right,543,1,north_east,5,NONE,562,1,556,7,847.2,518.4,23,UP,FALSE,1.49,109.48,64.59,585,812.6,447,1,80.48,836.6,515,563,.
SRC01TE1,right,0,right,427,north_west,south_east,right,543,1,north_east,5,NONE,727,2,142,586,796,439.8,69,RIGHT,FALSE,6.12,25.69,88.74,796,1058.5,314.7,2,239.37,790.6,443.7,728,NONE
SRC01TE1,right,0,right,427,north_west,south_east,right,543,1,north_east,5,NONE,1109,3,313,797,1044.7,320.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,right,0,right,692,north_west,south_east,left,714,0,south_west,6,NONE,398,1,392,7,840.6,522.7,32,RIGHT,FALSE,2.42,40.36,75.76,430,929.8,443.5,1,109.67,840.2,519.8,399,.
SRC01TE1,right,0,right,692,north_west,south_east,left,714,0,south_west,6,NONE,654,2,224,431,903.7,432.3,22,RIGHT,FALSE,1.89,33.79,85.68,676,967.7,384,2,129.13,891.8,434.9,655,NONE
SRC01TE1,right,0,right,692,north_west,south_east,left,714,0,south_west,6,NONE,989,3,313,677,942.5,381.1,25,RIGHT,FALSE,2.52,30.95,100.87,1014,1042.4,314.3,3,161.37,937.3,377.4,990,NONE
SRC01TE1,right,0,right,692,north_west,south_east,left,714,0,south_west,6,NONE,1264,4,250,1015,1033.6,317.6,51,LEFT,FALSE,11.8,-137.69,231.37,1315,607.3,706,4,412.36,1034,316.8,1265,NONE
SRC01TE1,right,0,right,692,north_west,south_east,left,714,0,south_west,6,NONE,1542,5,227,1316,602,703.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,left,0,left,651,north_west,south_east,left,607,1,north_west,7,NONE,388,1,382,7,858.2,546.5,9,.,FALSE,0.48,170.86,53.14,397,837.4,548.9,1,46.28,860.3,552.6,389,.
SRC01TE1,left,0,left,651,north_west,south_east,left,607,1,north_west,7,NONE,831,2,434,398,835.8,534.1,22,UP,FALSE,1.88,57.06,85.59,853,880.6,453.3,2,121.06,831,530.1,832,NONE
SRC01TE1,left,0,left,651,north_west,south_east,left,607,1,north_west,7,NONE,1045,3,192,854,870.1,453.2,40,LEFT,FALSE,5.44,164.07,136.12,1085,620.2,383.3,3,199.32,874.4,456,1046,NONE
SRC01TE1,left,0,left,651,north_west,south_east,left,607,1,north_west,7,NONE,1403,4,318,1086,613.8,389.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,left,0,left,700,north_west,south_east,left,521,1,north_east,8,NONE,1367,1,1361,7,849.3,513.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SRC01TE1,right,0,right,377,north_west,south_east,right,667,1,north_east,9,NONE,1178,1,1172,7,842.4,527.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SRC01TE1,left,0,left,571,north_west,south_east,left,762,1,north_west,10,NONE,1466,1,1460,7,836.2,528.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SRC01TE1,left,0,left,223,north_west,south_east,left,567,1,north_east,11,NONE,923,1,917,7,838.7,525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SRC01TE1,right,0,right,647,north_west,south_east,right,494,1,north_west,12,NONE,422,1,416,7,833.7,523.6,24,UP,FALSE,1.57,52.07,65.33,446,878.8,460.4,1,98.65,832.1,520.5,423,.
SRC01TE1,right,0,right,647,north_west,south_east,right,494,1,north_west,12,NONE,1028,2,582,447,853.3,453.4,23,LEFT,FALSE,2,-149.24,87.1,1051,775.9,511.1,2,127.32,859.3,461.3,1029,NONE
SRC01TE1,right,0,right,647,north_west,south_east,right,494,1,north_west,12,NONE,1231,3,180,1052,774.5,521.5,44,RIGHT,FALSE,1.39,6.48,31.5,1275,844,514.4,3,111.13,777.2,522,1232,NONE
SRC01TE1,right,0,right,399,north_west,south_east,right,731,1,north_east,13,NONE,1272,1,1266,7,835.9,533.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SRC01TE1,right,0,right,707,north_west,south_east,right,513,1,south_west,14,NONE,1122,1,1116,7,836.4,520,25,LEFT,FALSE,2.17,-163.63,86.65,1147,739,537.4,1,118.43,839.8,507.7,1123,.
SRC01TE1,right,0,right,707,north_west,south_east,right,513,1,south_west,14,NONE,1294,2,147,1148,739,536.2,24,RIGHT,FALSE,2.34,18.43,97.53,1318,844,501.8,2,153.51,736.3,537.8,1295,NONE
SRC01TE1,right,0,right,707,north_west,south_east,right,513,1,south_west,14,NONE,1360,3,42,1319,844.6,498.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,left,0,left,424,north_west,south_east,left,501,1,south_west,15,NONE,778,1,772,7,839.6,514.9,34,LEFT,FALSE,3.54,-151.19,104.15,812,687.5,591.6,1,153.77,838.3,508.5,779,.
SRC01TE1,left,0,left,424,north_west,south_east,left,501,1,south_west,15,NONE,953,2,141,813,689.2,591.9,34,RIGHT,FALSE,3.63,32.51,106.64,987,834.6,499.5,2,164.56,686,594.4,954,NONE
SRC01TE1,left,0,left,424,north_west,south_east,left,501,1,south_west,15,NONE,1059,3,72,988,822,504.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NONE
SRC01TE1,right,0,right,411,north_west,south_east,right,786,1,south_east,16,NONE,1335,1,1329,7,828.9,507.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SRC01TE1,left,0,left,348,north_west,south_east,left,673,1,north_east,17,NONE,1167,1,1161,7,825.2,536.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SRC01TE1,right,0,right,297,north_west,south_east,right,646,1,north_west,18,NONE,823,1,817,7,845.6,515.2,21,LEFT,FALSE,1.33,149.8,63.5,844,786.5,479.3,1,66.38,842.4,511.9,824,.
