RECORDING_SESSION_LABEL,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DIRECTION,CURRENT_SAC_DURATION,CURRENT_SAC_END_TIME,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_INDEX,CURRENT_SAC_START_TIME,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,CURRENT_SAC_ANGLE,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_PEAK_VELOCITY,NEXT_FIX_BLINK_AROUND,answer,block_number,block_trial_number,c_target,emcount,fix_to_stim,high_location,looked_distractor,low_location,not_fixated,points_received,ques_trial,response_key,response_time,sac_latency,target_correct,target_position,too_late,total_points,trial_number
SRC01TE1,FALSE,LEFT,22,554,773.7,460.1,1,533,832.3,508.2,140.68,1.56,105.23,NONE,left,0,UNDEFINED,left,UNDEFINED,628,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,397,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,0
SRC01TE1,FALSE,UP,26,955,779.1,328.9,2,930,758.5,448.3,80.19,2.49,116.23,NONE,left,0,UNDEFINED,left,UNDEFINED,628,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,397,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,0
SRC01TE1,FALSE,RIGHT,39,1044,1110.3,249.2,3,1006,768.9,308.4,9.84,7.11,351.86,NONE,left,0,UNDEFINED,left,UNDEFINED,628,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,397,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,0
SRC01TE1,FALSE,UP,36,574,827.1,380.2,1,539,835.9,532.2,93.32,3.14,109.43,NONE,left,0,UNDEFINED,left,UNDEFINED,257,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,408,UNDEFINED,0,north_east,UNDEFINED,UNDEFINED,1
SRC01TE1,FALSE,RIGHT,33,676,1033.7,352.9,2,644,810.9,389.8,9.39,4.65,264.52,NONE,left,0,UNDEFINED,left,UNDEFINED,257,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,408,UNDEFINED,0,north_east,UNDEFINED,UNDEFINED,1
SRC01TE1,FALSE,RIGHT,22,500,921.1,494.9,1,479,831.2,520.2,15.69,1.93,123.65,NONE,right,0,UNDEFINED,right,UNDEFINED,608,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,791,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,2
SRC01TE1,FALSE,DOWN,32,802,813.1,672,2,771,901.4,483.2,-115.16,4.27,224.35,NONE,right,0,UNDEFINED,right,UNDEFINED,608,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,791,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,2
SRC01TE1,FALSE,RIGHT,31,976,960.8,687.5,3,946,801.9,662.8,-8.77,3.3,189.05,NONE,right,0,UNDEFINED,right,UNDEFINED,608,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,791,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,2
SRC01TE1,FALSE,UP,51,1107,1057.2,276.5,4,1057,945.7,691.1,74.9,8.77,300.43,NONE,right,0,UNDEFINED,right,UNDEFINED,608,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,791,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,2
SRC01TE1,FALSE,UP,30,392,911.9,429.4,1,363,838.4,537.3,55.71,2.69,127.8,NONE,left,0,UNDEFINED,left,UNDEFINED,464,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,736,UNDEFINED,0,south_east,UNDEFINED,UNDEFINED,3
SRC01TE1,FALSE,RIGHT,42,778,1117.2,324.3,2,737,872.4,413.5,20.02,5.36,227.85,NONE,left,0,UNDEFINED,left,UNDEFINED,464,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,736,UNDEFINED,0,south_east,UNDEFINED,UNDEFINED,3
SRC01TE1,FALSE,LEFT,17,987,1048.9,352.8,3,971,1095.1,341.6,-166.37,0.98,78.6,NONE,left,0,UNDEFINED,left,UNDEFINED,464,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,736,UNDEFINED,0,south_east,UNDEFINED,UNDEFINED,3
SRC01TE1,FALSE,RIGHT,35,669,972.9,477.1,1,635,830.3,559.4,29.94,3.39,137.91,NONE,right,0,UNDEFINED,right,UNDEFINED,330,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,588,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,4
SRC01TE1,FALSE,UP,26,744,1044.5,392.4,2,719,962,483.6,47.84,2.53,166.33,NONE,right,0,UNDEFINED,right,UNDEFINED,330,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,588,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,4
SRC01TE1,FALSE,UP,12,942,1051.5,366.5,3,931,1030.3,393.4,51.79,0.7,60.61,NONE,right,0,UNDEFINED,right,UNDEFINED,330,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,588,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,4
SRC01TE1,FALSE,UP,23,585,812.6,447,1,563,836.6,515,109.48,1.49,80.48,NONE,right,0,UNDEFINED,right,UNDEFINED,427,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,543,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,5
SRC01TE1,FALSE,RIGHT,69,796,1058.5,314.7,2,728,790.6,443.7,25.69,6.12,239.37,NONE,right,0,UNDEFINED,right,UNDEFINED,427,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,543,UNDEFINED,1,north_east,UNDEFINED,UNDEFINED,5
SRC01TE1,FALSE,RIGHT,32,430,929.8,443.5,1,399,840.2,519.8,40.36,2.42,109.67,NONE,right,0,UNDEFINED,right,UNDEFINED,692,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,714,UNDEFINED,0,south_west,UNDEFINED,UNDEFINED,6
SRC01TE1,FALSE,RIGHT,22,676,967.7,384,2,655,891.8,434.9,33.79,1.89,129.13,NONE,right,0,UNDEFINED,right,UNDEFINED,692,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,714,UNDEFINED,0,south_west,UNDEFINED,UNDEFINED,6
SRC01TE1,FALSE,RIGHT,25,1014,1042.4,314.3,3,990,937.3,377.4,30.95,2.52,161.37,NONE,right,0,UNDEFINED,right,UNDEFINED,692,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,714,UNDEFINED,0,south_west,UNDEFINED,UNDEFINED,6
SRC01TE1,FALSE,LEFT,51,1315,607.3,706,4,1265,1034,316.8,-137.69,11.8,412.36,NONE,right,0,UNDEFINED,right,UNDEFINED,692,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,714,UNDEFINED,0,south_west,UNDEFINED,UNDEFINED,6
SRC01TE1,FALSE,.,9,397,837.4,548.9,1,389,860.3,552.6,170.86,0.48,46.28,NONE,left,0,UNDEFINED,left,UNDEFINED,651,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,607,UNDEFINED,1,north_west,UNDEFINED,UNDEFINED,7
SRC01TE1,FALSE,UP,22,853,880.6,453.3,2,832,831,530.1,57.06,1.88,121.06,NONE,left,0,UNDEFINED,left,UNDEFINED,651,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,607,UNDEFINED,1,north_west,UNDEFINED,UNDEFINED,7
SRC01TE1,FALSE,LEFT,40,1085,620.2,383.3,3,1046,874.4,456,164.07,5.44,199.32,NONE,left,0,UNDEFINED,left,UNDEFINED,651,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,607,UNDEFINED,1,north_west,UNDEFINED,UNDEFINED,7
SRC01TE1,FALSE,UP,24,446,878.8,460.4,1,423,832.1,520.5,52.07,1.57,98.65,NONE,right,0,UNDEFINED,right,UNDEFINED,647,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,494,UNDEFINED,1,north_west,UNDEFINED,UNDEFINED,12
SRC01TE1,FALSE,LEFT,23,1051,775.9,511.1,2,1029,859.3,461.3,-149.24,2,127.32,NONE,right,0,UNDEFINED,right,UNDEFINED,647,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,494,UNDEFINED,1,north_west,UNDEFINED,UNDEFINED,12
SRC01TE1,FALSE,RIGHT,44,1275,844,514.4,3,1232,777.2,522,6.48,1.39,111.13,.,right,0,UNDEFINED,right,UNDEFINED,647,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,494,UNDEFINED,1,north_west,UNDEFINED,UNDEFINED,12
SRC01TE1,FALSE,LEFT,25,1147,739,537.4,1,1123,839.8,507.7,-163.63,2.17,118.43,NONE,right,0,UNDEFINED,right,UNDEFINED,707,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,513,UNDEFINED,1,south_west,UNDEFINED,UNDEFINED,14
SRC01TE1,FALSE,RIGHT,24,1318,844,501.8,2,1295,736.3,537.8,18.43,2.34,153.51,NONE,right,0,UNDEFINED,right,UNDEFINED,707,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,right,513,UNDEFINED,1,south_west,UNDEFINED,UNDEFINED,14
SRC01TE1,FALSE,LEFT,34,812,687.5,591.6,1,779,838.3,508.5,-151.19,3.54,153.77,NONE,left,0,UNDEFINED,left,UNDEFINED,424,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,501,UNDEFINED,1,south_west,UNDEFINED,UNDEFINED,15
SRC01TE1,FALSE,RIGHT,34,987,834.6,499.5,2,954,686,594.4,32.51,3.63,164.56,NONE,left,0,UNDEFINED,left,UNDEFINED,424,north_west,UNDEFINED,south_east,UNDEFINED,UNDEFINED,UNDEFINED,left,501,UNDEFINED,1,south_west,UNDEFINED,UNDEFINED,15
