_prepare,_run,auto_log,background,bidi,block_trial_nr,bonus,break_if,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_high_reward,count_instructions_1,count_instructions_2,count_instructions_3,count_logger,count_low_reward,count_neut1_reward,count_neut2_reward,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,em1_end_position,em1_end_time,em1_start_position,em1_start_time,em2_end_position,em2_end_time,em2_start_position,em2_start_time,emcount,feedback_color,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,high_reward_location,ignore_missing,item,keyboard_backend,log_msg,looked_distractor,low_location,low_reward_location,mode,mouse_backend,neut1_location,neut2_location,not_fixated,order,points_received,ques_feedback,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions_1,response_instructions_2,response_instructions_3,response_key,response_time,response_time_feedback,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,sac_latency,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions_1,time_instructions_2,time_instructions_3,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,too_late,total_points,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","yes","#646464","no","0","NA","NA","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","(732.5999755859375, 243.6999969482422)","258810","(900.7999877929688, 435.0)","258769","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","527","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","1","NA","0","na","NA","0","NA","0","NA","space","space","space","0","456","NA","23325","24245","31406","415","NA","NA","legacy","experiment","10","even","legacy","0","north_west","2119","2120","200228","257688","259350","NA","121178","144505","168752","259882","200161","200159","200161","259882","200161","257822","2119","200228","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","1","NA","NA","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","(728.2000122070312, 259.79998779296875)","265976","(894.0, 433.29998779296875)","265938","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","494","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","1","NA","0","na","NA","0","NA","0","NA","space","space","space","0","502","NA","23325","24245","31406","464","NA","NA","legacy","experiment","10","even","legacy","0","north_west","2119","2120","259915","264848","266515","NA","121178","144505","168752","267043","200161","200159","200161","267043","200161","264979","2119","259915","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","2","NA","NA","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","0","0","2","0","0","0","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","(1121.199951171875, 609.5)","271042","(905.4000244140625, 424.3999938964844)","271005","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","354","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","1","NA","0","na","NA","0","NA","0","NA","space","space","space","0","355","NA","23325","24245","31406","318","NA","NA","legacy","experiment","10","even","legacy","0","south_east","2119","2120","267073","270195","271581","NA","121178","144505","168752","272112","200161","200159","200161","272112","200161","270330","2119","267073","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","3","NA","NA","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","0","0","3","0","0","0","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","(672.2000122070312, 596.2000122070312)","277106","(886.0, 445.1000061035156)","277040","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","764","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","1","NA","0","na","NA","0","NA","0","NA","space","space","space","0","356","NA","23325","24245","31406","290","NA","NA","legacy","experiment","10","even","legacy","0","south_west","2119","2120","272141","275848","277646","NA","121178","144505","168752","278177","200161","200159","200161","278177","200161","275982","2119","272141","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","4","NA","NA","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","0","0","4","0","0","0","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","(1101.0, 268.20001220703125)","280541","(883.4000244140625, 447.79998779296875)","280506","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","362","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","327","NA","23325","24245","31406","292","NA","NA","legacy","experiment","10","even","legacy","1","north_east","2119","2120","278207","279714","281079","NA","121178","144505","168752","281607","200161","200159","200161","281607","200161","279848","2119","278207","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","5","NA","NA","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","0","0","5","0","0","0","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","(1077.0999755859375, 610.5999755859375)","285058","(895.7999877929688, 418.6000061035156)","285001","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","225","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","1","NA","0","na","NA","0","NA","0","NA","space","space","space","0","421","NA","23325","24245","31406","364","NA","NA","legacy","experiment","10","even","legacy","0","south_east","2119","2120","281636","284275","285597","NA","121178","144505","168752","286128","200161","200159","200161","286128","200161","284409","2119","281636","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","6","NA","NA","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","0","0","6","0","0","0","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","(737.0, 276.5)","287453","(881.7000122070312, 479.5)","287418","(888.5, 342.1000061035156)","289100","(682.0999755859375, 277.1000061035156)","287675","2","#D8D800","377","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","1932","NA","23325","24245","31406","507","NA","NA","legacy","experiment","10","even","legacy","0","north_west","2119","2120","286157","286656","289639","NA","121178","144505","168752","290181","200161","200159","200161","290181","200161","286788","2119","286157","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","7","NA","NA","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","0","0","7","0","0","0","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","(1151.0, 209.3000030517578)","292851","(903.5999755859375, 441.70001220703125)","292813","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","724","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","1","NA","0","na","NA","0","NA","0","NA","space","space","space","0","266","NA","23325","24245","31406","228","NA","NA","legacy","experiment","10","even","legacy","0","north_east","2119","2120","290210","291723","293389","NA","121178","144505","168752","293920","200161","200159","200161","293920","200161","291857","2119","290210","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","8","NA","NA","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","0","0","8","0","0","0","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","(1127.0999755859375, 631.0)","295158","(896.0, 478.3999938964844)","295123","(1057.800048828125, 613.7999877929688)","298087","(1123.300048828125, 629.0)","298067","2","#D8D800","322","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","3336","NA","23325","24245","31406","3316","NA","NA","legacy","experiment","10","even","legacy","0","south_east","2119","2120","293949","294292","298626","NA","121178","144505","168752","299155","200161","200159","200161","299155","200161","294426","2119","293949","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","9","NA","NA","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","0","0","9","0","0","0","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","(689.5, 615.9000244140625)","301432","(887.2999877929688, 496.6000061035156)","301361","(785.0999755859375, 645.4000244140625)","303879","(660.0, 696.9000244140625)","303853","2","#D8D800","678","NA","no","mono","no","18","NA","white","1050","north_east","north_east","yes","NA","legacy","NA","0","south_west","south_west","NA","legacy","south_east","north_west","0","NA","0","na","NA","0","NA","0","NA","space","space","space","0","2801","NA","23325","24245","31406","2775","NA","NA","legacy","experiment","10","even","legacy","0","south_west","2119","2120","299184","300262","304416","NA","121178","144505","168752","304937","200161","200159","200161","304936","200161","300396","2119","299184","New experiment","1","0","NA","no","yes","1680","NA","NA"
