_prepare,_run,auto_log,background,bidi,block_trial_nr,bonus,break_if,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_high_reward,count_instructions_1,count_instructions_2,count_instructions_3,count_logger,count_low_reward,count_neut1_reward,count_neut2_reward,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,em1_end_position,em1_end_time,em1_start_position,em1_start_time,em2_end_position,em2_end_time,em2_start_position,em2_start_time,emcount,feedback_color,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,high_reward_location,ignore_missing,item,keyboard_backend,log_msg,looked_distractor,low_location,low_reward_location,mode,mouse_backend,neut1_location,neut2_location,not_fixated,order,points_received,ques_feedback,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions_1,response_instructions_2,response_instructions_3,response_key,response_time,response_time_feedback,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,sac_latency,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions_1,time_instructions_2,time_instructions_3,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,too_late,total_points,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","yes","#646464","no","0","NA","NA","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","(1026.800048828125, 648.7999877929688)","300876","(832.9000244140625, 498.6000061035156)","300833","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","734","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","541","NA","32159","25373","143117","498","NA","NA","legacy","experiment","15","odd","legacy","0","south_east","2100","2102","288652","299461","301416","NA","87928","120089","145464","301945","288583","288581","288583","301945","288583","299597","2102","288652","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","1","NA","NA","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","(635.5, 728.5)","311081","(841.5999755859375, 500.6000061035156)","310983","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","208","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","570","NA","32159","25373","143117","472","NA","NA","legacy","experiment","15","odd","legacy","0","south_west","2100","2102","301979","310165","311620","NA","87928","120089","145464","312149","288583","288581","288583","312149","288583","310300","2102","301979","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","2","NA","NA","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","0","0","2","0","0","0","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","(649.2000122070312, 249.5)","317247","(827.7999877929688, 479.20001220703125)","317204","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","792","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","380","NA","32159","25373","143117","337","NA","NA","legacy","experiment","15","odd","legacy","1","north_west","2100","2102","312179","315936","317785","NA","87928","120089","145464","318316","288583","288581","288583","318316","288583","316070","2102","312179","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","3","NA","NA","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","0","0","3","0","0","0","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","(706.0, 601.0)","323773","(841.4000244140625, 510.8999938964844)","323729","(665.9000244140625, 618.9000244140625)","323863","(685.2000122070312, 602.7999877929688)","323829","2","#D8D800","560","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","487","NA","32159","25373","143117","453","NA","NA","legacy","experiment","15","odd","legacy","0","south_west","2100","2102","318346","322678","324403","NA","87928","120089","145464","324936","288583","288581","288583","324936","288583","322812","2102","318346","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","4","NA","NA","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","0","0","4","0","0","0","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","(670.0999755859375, 284.20001220703125)","329371","(833.2000122070312, 518.7000122070312)","329334","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","346","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","482","NA","32159","25373","143117","445","NA","NA","legacy","experiment","15","odd","legacy","1","north_west","2100","2102","324966","328405","329910","NA","87928","120089","145464","330442","288583","288581","288583","330442","288583","328539","2102","324966","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","5","NA","NA","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","0","0","5","0","0","0","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","(707.0, 395.6000061035156)","333691","(830.7999877929688, 541.2999877929688)","333653","(627.9000244140625, 264.29998779296875)","333844","(705.2999877929688, 371.70001220703125)","333821","2","#D8D800","427","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","493","NA","32159","25373","143117","470","NA","NA","legacy","experiment","15","odd","legacy","0","north_west","2100","2102","330472","332792","334383","NA","87928","120089","145464","334913","288583","288581","288583","334913","288583","332920","2102","330472","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","6","NA","NA","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","0","0","6","0","0","0","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","(653.7999877929688, 326.0)","337947","(827.0, 530.4000244140625)","337913","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","254","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","383","NA","32159","25373","143117","349","NA","NA","legacy","experiment","15","odd","legacy","1","north_west","2100","2102","334942","337174","338485","NA","87928","120089","145464","339002","288583","288581","288583","339002","288583","337306","2102","334942","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","7","NA","NA","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","0","0","7","0","0","0","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","(999.2000122070312, 641.0999755859375)","341756","(823.5999755859375, 515.2999877929688)","341712","(1100.300048828125, 697.2000122070312)","343198","(1017.0999755859375, 642.7999877929688)","343173","2","#D8D800","764","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","1778","NA","32159","25373","143117","1753","NA","NA","legacy","experiment","15","odd","legacy","0","south_east","2100","2102","339031","340518","343738","NA","87928","120089","145464","344281","288583","288581","288583","344280","288583","340652","2102","339031","New experiment","1","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","8","NA","NA","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","0","0","8","0","0","0","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","(1034.699951171875, 686.0999755859375)","345727","(848.0999755859375, 554.7000122070312)","345683","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","275","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","426","NA","32159","25373","143117","382","NA","NA","legacy","experiment","15","odd","legacy","1","south_east","2100","2102","344310","344888","346266","NA","87928","120089","145464","346797","288583","288581","288583","346797","288583","345022","2102","344310","New experiment","0","0","NA","no","yes","1680","NA","NA"
"NA","NA","yes","#646464","no","9","NA","NA","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","0","0","9","0","0","0","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","(1022.5999755859375, 312.70001220703125)","350073","(837.5, 517.2000122070312)","350021","[0.0, 0.0]","0","[0.0, 0.0]","0","1","#D8D800","313","NA","no","mono","no","18","NA","white","1050","south_west","south_west","yes","NA","legacy","NA","0","south_east","south_east","NA","legacy","north_east","north_west","0","NA","0","na","NA","0","NA","0","NA","down","right","space","0","373","NA","32159","25373","143117","321","NA","NA","legacy","experiment","15","odd","legacy","1","north_east","2100","2102","346827","349256","350612","NA","87928","120089","145464","351131","288583","288581","288583","351131","288583","349384","2102","346827","New experiment","0","0","NA","no","yes","1680","NA","NA"
